4;10576;7805357001815;1;01-07-2026
4;17721;7804656600507;1;01-08-2026
4;6509;7800059007394;1;01-08-2026
4;24413;7800059007400;1;01-08-2026
4;8372;7804650881001;1;01-07-2026
4;8155;7804625951036;1;01-07-2026
4;21812;8016744806022;2;01-07-2026
4;26626;382906732019;46;01-07-2026
4;6610;7800060037199;1;01-07-2026
4;6540;7800060003194;1;01-07-2026
4;17646;7800038045768;1;01-07-2026
4;24339;7800026004616;1;01-07-2026
4;1729;7460088734304;1;01-07-2026
4;6543;7800060003231;1;01-07-2026
4;7851;7804610650104;0;01-07-2026
4;18178;7804622980589;1;01-07-2026
4;7418;7800070001678;1;01-07-2026
4;27469;7802820600100;7;01-07-2026
4;25882;8809581450646;0;01-08-2026
4;12424;8470001859853;2;01-08-2026
4;26413;7502221187100;3;01-08-2026
4;21947;5031413938326;0;01-08-2026
4;15774;3466320012838;0;01-08-2026
4;18295;7798140254485;0;01-08-2026
4;6960;7800063111759;1;01-08-2026
4;5181;7800023226103;6;01-08-2026
4;24815;8904317825436;4;01-08-2026
4;24348;7804640561951;1;01-08-2026
4;25287;7804948820170;0;01-08-2026
4;26124;7500435216241;1;01-08-2026
4;26125;7500435222037;1;01-08-2026
4;26385;7804918453360;2;01-08-2026
4;3852;7798140251910;3;01-08-2026
4;20642;7808713900432;1;01-08-2026
4;21803;8016744805902;2;01-08-2026
4;21814;8016744805971;1;01-08-2026
4;21825;8016744806169;3;01-08-2026
4;25234;793969197644;0;01-08-2026
4;21091;7804923025675;1;01-08-2026
4;24464;9002224543005;4;01-08-2026
4;15955;4005900399953;0;01-08-2026
4;10521;7805357001006;0;01-08-2026
4;552;5415062380093;1;01-08-2026
4;13127;7804907916456;1;01-08-2026
4;26240;7703378549043;2;01-08-2026
4;23235;7804945018174;1;01-08-2026
4;23234;7804945018181;0;01-08-2026
4;15988;7702027047961;2;01-08-2026
4;18270;8903726214312;1;01-08-2026
4;18017;7800041000020;1;01-08-2026
4;6622;7800060041547;1;01-08-2026
4;23934;7805750402523;1;01-08-2026
4;15647;7804678460141;2;01-08-2026
4;21363;8713184192301;1;01-08-2026
4;15102;7804633500868;1;01-08-2026
4;416;736085402551;3;01-09-2026
4;6551;7800060003651;0;01-09-2026
4;26548;8410225513674;2;01-09-2026
4;5860;7800038040510;1;01-09-2026
4;17009;7800063001388;1;01-09-2026
4;12651;9980808884440;6;01-09-2026
4;10592;7805357003901;1;01-09-2026
4;23407;7805357002294;3;01-09-2026
4;25177;7805357001877;1;01-09-2026
4;22480;75076221;4;01-09-2026
4;26565;5010724527450;1;01-09-2026
4;9206;7804918400814;2;01-09-2026
4;26942;7801001014620;1;01-09-2026
