6;7211;7800068010156;1;01-07-2026
6;4231;7800007114525;3;01-07-2026
6;10576;7805357001815;1;01-07-2026
6;7520;7800097002412;1;01-07-2026
6;24440;8903726287200;1;01-07-2026
6;24339;7800026004616;1;01-07-2026
6;5513;7800028001217;1;01-07-2026
6;3255;7730997410577;1;01-07-2026
6;12471;8711231114306;1;01-07-2026
6;6669;7800060118782;1;01-08-2026
6;5197;7800026001080;0;01-08-2026
6;14185;7804653720406;0;01-08-2026
6;17850;7804650884712;0;01-08-2026
6;12424;8470001859853;1;01-08-2026
6;26413;7502221187100;1;01-08-2026
6;21947;5031413938326;0;01-08-2026
6;21945;5031413938319;1;01-08-2026
6;21940;5031413938302;1;01-08-2026
6;21939;5031413938296;1;01-08-2026
6;5181;7800023226103;1;01-08-2026
6;1369;5038483747773;1;01-08-2026
6;4845;7800018078113;0;01-08-2026
6;21240;3600524095567;1;01-08-2026
6;15297;8710428018588;1;01-08-2026
6;12464;8710428999481;0;01-08-2026
6;24344;7800060416451;0;01-08-2026
6;2035;7501298222677;1;01-08-2026
6;25287;7804948820170;1;01-08-2026
6;3852;7798140251910;0;01-08-2026
6;9522;7804923031492;1;01-08-2026
6;21091;7804923025675;1;01-08-2026
6;1933;7501035908925;0;01-08-2026
6;20726;7804650885870;1;01-08-2026
6;11942;7897930762145;0;01-08-2026
6;24278;7800004000357;1;01-08-2026
6;13184;7800068017445;1;01-08-2026
6;25475;7804907994362;1;01-08-2026
6;7152;7800063330396;1;01-08-2026
6;26240;7703378549043;1;01-08-2026
6;6990;7800063116419;1;01-08-2026
6;15988;7702027047961;1;01-08-2026
6;23407;7805357002294;1;01-09-2026
6;8318;7804641330242;2;01-09-2026
6;17367;7804918450963;1;01-09-2026
6;22445;7502221187551;1;01-09-2026
6;18677;7805633021766;1;01-09-2026
6;142;77954978;1;01-09-2026
6;21227;7509552902082;1;01-09-2026
6;15266;8710428018564;3;01-09-2026
6;11771;7800046005136;3;01-09-2026
6;8609;7804900610955;1;01-09-2026
6;25496;7794640172618;0;01-09-2026
6;13748;4005800005541;1;01-09-2026
6;11569;7809622000725;1;01-09-2026
6;13986;7800007804013;0;01-09-2026
6;5983;7800041042853;1;01-09-2026
6;23222;7800046005631;1;01-09-2026
6;15706;7509552849660;1;01-09-2026
6;22422;7509552909678;2;01-09-2026
6;23112;7509552922950;1;01-09-2026
6;15876;7800004004881;1;01-09-2026
6;5534;7800028001842;1;01-09-2026
6;12290;8427426033269;0;01-09-2026
6;11376;7809591401141;1;01-09-2026
6;2302;7509546004488;1;01-09-2026
6;8509;7804656600453;1;01-09-2026
6;7243;7800068010873;1;01-09-2026
6;22415;4006000087054;1;01-09-2026
6;18287;4005900919588;3;01-09-2026
6;997;4005808538560;1;01-09-2026
6;24290;8436024616644;0;01-09-2026
6;23609;8903726304419;0;01-09-2026
6;9406;7804920006424;1;01-09-2026
6;4687;7800007804877;0;01-09-2026
6;22913;7500435143189;1;01-09-2026
6;23036;737186534103;1;01-09-2026
6;25667;7805633026006;1;01-09-2026
6;7433;7800070004549;1;01-09-2026
6;26280;8903726339022;0;01-09-2026
6;18179;7797600010074;1;01-09-2026
6;3890;7798176420618;1;01-09-2026
6;8349;7804650311171;1;01-09-2026
6;6654;7800060116573;1;01-09-2026
6;5653;7800029004200;1;01-09-2026
6;15510;7809591402995;0;01-09-2026
6;7209;7800068010118;1;01-10-2026
6;1805;7500435130622;1;01-10-2026
6;26352;8904208905131;1;01-10-2026
6;25858;7805357002263;0;01-10-2026
6;16077;8904159675589;4;01-10-2026
6;15459;3664798040579;1;01-10-2026
6;6149;7800046005259;1;01-10-2026
6;26523;3662042008511;1;01-10-2026
6;5218;7800026003268;5;01-10-2026
6;5189;7800023226608;2;01-10-2026
6;4714;7800007807106;0;01-10-2026
6;5341;7800026017616;0;01-10-2026
6;14850;7803501004422;2;01-10-2026
6;20604;7800060154155;1;01-10-2026
6;14205;7804657990362;3;01-10-2026
6;4312;7800007153500;1;01-10-2026
6;26208;7804902048077;1;01-10-2026
6;3210;7730969300943;1;01-10-2026
6;22637;7800038001207;1;01-10-2026
6;25153;300960738044;1;01-10-2026
6;1457;5997001370117;0;01-10-2026
6;7155;7800063330525;10;01-10-2026
6;26251;7805000324742;1;01-10-2026
6;23453;7795373003330;1;01-10-2026
6;3598;7794490630443;1;01-10-2026
6;6301;7800050002602;1;01-10-2026
6;27267;850059630044;4;01-10-2026
6;27268;850059630037;5;01-10-2026
6;1335;7805010005099;2;01-10-2026
6;8383;7804650881629;1;01-10-2026
6;5040;7800018001173;1;01-10-2026
6;8403;7804650882824;1;01-10-2026
6;21961;764451229495;1;01-10-2026
6;21961;764451229495;5;01-10-2026
6;24129;731416393034;1;01-10-2026
6;21225;7896006202141;1;01-10-2026
6;26436;7800063004129;1;01-10-2026
6;26437;7800063004136;0;01-10-2026
6;26438;7800063004143;0;01-10-2026
6;15763;8429420268296;1;01-10-2026
6;18028;7804633500745;1;01-10-2026
6;4722;7800007808790;2;01-10-2026
6;23701;7509546688220;1;01-10-2026
6;1933;7501035908925;1;01-10-2026
6;8013;7804620832057;1;01-10-2026
6;1367;5027314502988;1;01-10-2026
6;1982;7501059283497;0;01-10-2026
6;24203;7804902040675;2;01-10-2026
6;7113;7800063311333;1;01-10-2026
6;6721;7800060129399;1;01-10-2026
6;18217;4006000067230;1;01-10-2026
6;26137;7500435202848;1;01-10-2026
6;3932;7800004000340;3;01-10-2026
6;21908;7500435212342;1;01-10-2026
6;15905;7800063001746;1;01-10-2026
6;6895;7800063001494;3;01-10-2026
6;6744;7800060138971;1;01-10-2026
6;14737;7730963250244;1;01-10-2026
6;14736;7730963250251;2;01-10-2026
6;14740;7730963250688;2;01-10-2026
6;14738;7730963250237;1;01-10-2026
6;15873;7800038000675;1;01-10-2026
6;6881;7800063000831;1;01-10-2026
6;22795;7500435143196;1;01-10-2026
6;10913;7805633019527;1;01-10-2026
6;21691;7800086802900;1;01-10-2026
6;26546;7750327000100;2;01-10-2026
6;26547;7750327000063;1;01-10-2026
6;24328;7750327000070;1;01-10-2026
6;23551;7891317033590;3;01-10-2026
6;23455;7804633500639;1;01-10-2026
6;5167;7800020187834;1;01-10-2026
6;6190;7800046005198;4;01-10-2026
6;1414;5413895015779;1;01-10-2026
6;25648;810100850258;2;01-10-2026
6;25642;810100850289;2;01-10-2026
6;7829;7804605270461;2;01-10-2026
6;11813;7895559320036;1;01-10-2026
6;11458;7809599501966;1;01-10-2026
6;11459;7809599501973;1;01-10-2026
6;16040;8713184155351;1;01-10-2026
6;22492;7800006011153;1;01-10-2026
6;13978;7800006008856;1;01-10-2026
6;22701;4007221043003;1;01-10-2026
6;25862;3337875795265;1;01-10-2026
6;24292;3337875837149;1;01-10-2026
6;6502;7800059004416;1;01-10-2026
6;14024;7800038000477;2;01-10-2026
6;5827;7800038000071;1;01-10-2026
6;5837;7800038000309;2;01-10-2026
6;5836;7800038000293;1;01-10-2026
6;5838;7800038000316;1;01-10-2026
6;1676;6948169301535;1;01-11-2026
6;4968;7800018000466;0;01-11-2026
6;5628;7800029002480;2;01-11-2026
6;8069;7804620833818;2;01-11-2026
6;18233;7800007808950;6;01-11-2026
6;23795;75076290;1;01-11-2026
6;3579;7793640679844;1;01-11-2026
6;4302;7800007143389;0;01-11-2026
6;4814;7500435242172;3;01-11-2026
6;5245;7800026005767;1;01-11-2026
6;5872;7800038041371;12;01-11-2026
6;4556;7800007749772;1;01-11-2026
6;3925;7800004000111;1;01-11-2026
6;5637;7804900000848;2;01-11-2026
6;NO TIENE;15694;14;01-11-2026
6;23311;7804676070168;15;01-11-2026
6;3249;7730979098045;1;01-11-2026
6;26152;7804667110606;1;01-11-2026
6;24169;7798032937441;5;01-11-2026
6;8406;7804650883197;2;01-11-2026
6;4977;7800018000503;2;01-11-2026
6;1074;4005900436979;1;01-11-2026
6;2036;7501298222684;0;01-11-2026
6;23062;7800004005932;1;01-11-2026
6;23440;7804960111041;1;01-11-2026
6;1432;5702191029673;1;01-11-2026
6;17003;5000158069060;3;01-11-2026
6;23421;7801505002864;1;01-11-2026
6;17699;7804620835652;2;01-11-2026
6;22459;7804620836109;5;01-11-2026
6;9321;7804918500118;2;01-11-2026
6;24357;7804918452905;2;01-11-2026
6;15278;7804625951739;1;01-11-2026
6;24272;7804625951746;1;01-11-2026
6;17100;8429420218673;1;01-11-2026
6;25824;8429420251694;2;01-11-2026
6;845;3614227275799;1;01-11-2026
6;24395;7800038001238;1;01-11-2026
6;2394;7509546067940;1;01-11-2026
6;21120;7702031278245;1;01-11-2026
6;7721;7803504001640;1;01-11-2026
6;154;78026520;1;01-11-2026
6;20726;7804650885870;1;01-11-2026
6;15904;7800063001401;1;01-11-2026
6;4214;7800007104991;1;01-11-2026
6;4495;7800007710802;1;01-11-2026
6;24764;7800016000345;1;01-11-2026
6;4297;7800007142573;4;01-11-2026
6;1080;4005900985798;1;01-11-2026
6;2751;7702026147020;3;01-11-2026
6;11341;7809576412179;2;01-11-2026
6;6541;7800060003217;2;01-11-2026
